name,categories,address,lat,lng,distance,city
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,638,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,258,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,191,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,225,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,369,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,467,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,564,Melbourne
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,439,
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,557,Melbourne
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,605,Melbourne
2nd book shop,Bookstore,,-37.816244,144.968586,527,
All Books 4 Less,Bookstore,360 Bourke St.,-37.81429897217087,144.9630872916126,11,Melbourne
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,958,Docklands
Temple Books,Bookstore,Melbourne,-37.813988088322006,144.96299028396606,29,Rutherglen
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,1064,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,1954,Carlton
ACU Book Store,College Bookstore,,-37.807676,144.978315,1518,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,2179,Fitzroy
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,6056,Footscray
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,2395,Fitzroy
Pelican Books,Bookstore,121 Elizabeth Street,-37.815487,144.963644,147,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,4245,South Yarra
The Book Grocer,Bookstore,,-37.837622,144.995999,3889,South Yarra
Book Affair,Bookstore,,-37.775397,144.960742,4326,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,4661,
The Haunted Bookshop,Bookstore,15 McKillop Street,-37.81547,144.96169,190,Melbourne
Robinsons Bookshop,Bookstore,,-37.81221352584693,144.96405798988505,236,Melbourne
Central Catholic Bookshop,Bookstore,Lonsdale St,-37.811968,144.963328,250,Melbourne
China Books,Bookstore,,-37.812401,144.965165,268,
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,20204,Wheelers Hill
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,5205,Brunswick
Academic & General Bookshops,Bookstore,259 Swanston Street,-37.8111534734445,144.96456888826722,362,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5556,Northcote
The Book Grocer,Bookstore,,-37.81669,144.89159,6300,Yarraville
Academic And General Bookshops,College Bookstore,259 Swanston St.,-37.811439103868956,144.9648915625289,344,Melbourne
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,6371,Moonee Ponds
Dirt Cheap Books,Bookstore,266-310 Elizabeth St.,-37.811715,144.962276,289,Melbourne
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,1131,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,1232,Melbourne
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,5298,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,2620,South Yarra
The Book Grocer,Bookstore,,-37.837622,144.995999,3178,South Yarra
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,10675,Footscray
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,16527,Wheelers Hill
Bookhouse,Bookstore,137 Fitzroy St,-37.85924710795372,144.9784987870557,579,St Kilda
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,5714,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,5811,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,5730,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,5633,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,5800,Melbourne
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,5864,Docklands
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,7077,Fitzroy
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,5493,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,7232,Fitzroy
Cosmos Books and Music,Bookstore,112 Acland Street,-37.86882858656735,144.9799564502599,576,Melbourne
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,7382,Williamstown
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,5778,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,7478,Carlton
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,6359,Melbourne
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,5589,Brighton
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,4732,Melbourne
2nd book shop,Bookstore,,-37.816244,144.968586,5419,
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,5556,
The Book Grocer,Bookstore,,-37.81669,144.89159,9497,Yarraville
ACU Book Store,College Bookstore,,-37.807676,144.978315,6257,Fitzroy
Book Affair,Bookstore,,-37.775397,144.960742,10013,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,10286,
Syber's Books,Bookstore,38 Chapel St,-37.856210161914554,144.99275815961028,1293,Windsor
Chai Jewish Books & Judaica Outlet,Bookstore,285A Carlisle Street,-37.8692213959954,144.99633014202118,1424,Balaclava
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,10253,Northcote
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,10861,Brunswick
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,11978,Moonee Ponds
Andrew Isles Natural History Books,Bookstore,,-37.849065,144.990731,1827,
"Monash University Bookshop, The Alfred",Bookstore,The Alfred,-37.84591813727972,144.98236656188965,1994,Melbourne
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,12359,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,7320,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,3879,South Yarra
The Book Grocer,Bookstore,,-37.837622,144.995999,4091,South Yarra
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,13902,Footscray
Books in Print,Bookstore,100 Glenferrie Road,-37.86201866273599,145.02884310381728,734,Malvern
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,3826,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,3864,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,7781,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,8071,Melbourne
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,7809,Fitzroy
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,7801,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,7650,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,8207,Fitzroy
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,7769,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,8852,Carlton
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,8579,Docklands
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,7691,Melbourne
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,6168,Canterbury
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,7167,Brighton
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,8029,Melbourne
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,8483,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,10001,Northcote
Grant's Bookshop,Bookstore,,-37.855404,145.01806,1514,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,11316,
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,6979,Melbourne
Book Affair,Bookstore,,-37.775397,144.960742,11246,
2nd book shop,Bookstore,,-37.816244,144.968586,7440,
ACU Book Store,College Bookstore,,-37.807676,144.978315,7469,Fitzroy
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,7559,
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,12047,Williamstown
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,11902,Brunswick
Deakin University Building H (Business & Law and MIBT Book Shop),College Bookstore,"Building H, 221 Burwood Highway",-37.84882390258912,145.11473959242863,7070,Burwood
Continental Bookshop,Bookstore,439–443 Burke Road,-37.84556901306103,145.05399152661045,2136,Boroondara
The Book Grocer,Bookstore,,-37.81669,144.89159,13410,Yarraville
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,9060,Box Hill
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,10906,
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,14148,Moonee Ponds
Pauline Books & Media,Bookstore,7 Denmark Hill Road,-37.832518,145.054004,3251,
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,2938,Melbourne
The Book Grocer,Bookstore,,-37.837622,144.995999,2001,South Yarra
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,2579,South Yarra
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,2774,Fitzroy
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,3230,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,9538,Footscray
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,3049,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,3185,Fitzroy
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,3317,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,3735,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,3342,Melbourne
ACU Book Store,College Bookstore,,-37.807676,144.978315,2556,Fitzroy
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,16899,Wheelers Hill
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,3123,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,3883,Carlton
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,2925,Melbourne
2nd book shop,Bookstore,,-37.816244,144.968586,3019,
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,3089,
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,4411,Docklands
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,3895,Melbourne
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,3850,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5330,Northcote
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,4221,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,6284,
Book Affair,Bookstore,,-37.775397,144.960742,6212,
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,6873,Brunswick
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,5890,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,5514,Melbourne
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,9229,Moonee Ponds
Avenue Bookstore,Bookstore,,-37.825022,144.993753,926,Melbourne
The Book Grocer,Bookstore,,-37.81669,144.89159,9763,Yarraville
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,10087,Williamstown
Domain Bookshop,Bookstore,179 Domain Rd.,-37.83469326889047,144.98508805582395,2209,South Yarra
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,7895,Canterbury
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,10350,Brighton
All Books 4 Less Greensborough,Bookstore,,-37.703553,145.103868,386,
All Books,Bookstore,,-37.70297091432634,145.10280248685464,491,
Robinsons Bookshop,Bookstore,Main Street,-37.70358642083249,145.1035889478286,410,Greensborough
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,22831,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,17554,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,20852,Footscray
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,12339,Northcote
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,14728,
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,14660,Brunswick
Book Affair,Bookstore,,-37.775397,144.960742,15220,
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,15313,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,15546,Fitzroy
Melbourne Book Restoration,Bookstore,,-37.630489776097924,145.18760970431464,10768,
Eltham Bookshop,Bookstore,,-37.7139079662881,145.14842924126035,3708,Eltham
Collins Booksellers,Bookstore,"Shop T51, Uni Hill Factory Outlets",-37.68145078137726,145.07084924241798,4141,Bundoora
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,16040,Carlton
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,17358,Melbourne
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,12789,Box Hill
Volumes Books And Gifts,Bookstore,"Shop 3, 24 Chute St",-37.67305,145.15122,5122,Diamond Creek
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,17951,Melbourne
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,14323,
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,17197,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,17520,Melbourne
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,13576,Canterbury
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,17807,Moonee Ponds
Campions Books,Bookstore,,-37.732274,145.054382,5688,
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,18378,South Yarra
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,17634,Melbourne
adventist Book Centre,Bookstore,,-37.824233,145.166771,14339,
Marvel Bookbinding & Printfinishing Pty Ltd,Bookstore,21 Kylta Rd,-37.732456,145.044534,6438,
The Book Grocer,Bookstore,,-37.837622,144.995999,17851,South Yarra
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,18546,Docklands
Robinson’s Bookshop,Bookstore,,-37.650953,145.069552,6819,Mill Park
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,17489,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,17289,Melbourne
All Books 4 Less,Bookstore,Warringal Shopping Centre,-37.75526531027616,145.07095693582673,6579,Heidelberg
ACU Book Store,College Bookstore,,-37.807676,144.978315,16243,Fitzroy
Ulysses bookstore,Bookstore,35 Melrose street,-37.94953191252491,145.0037990091408,99,Sandringham
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,14788,Wheelers Hill
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,4243,Brighton
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,15130,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,19776,Footscray
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,11992,South Yarra
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,9049,Melbourne
The Book Grocer,Bookstore,,-37.837622,144.995999,12564,South Yarra
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,10412,
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,13906,Williamstown
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,15517,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,15642,Melbourne
Benns' Bookshop,Bookstore,,-37.91857822244426,145.04000071720458,4716,Bentleigh
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,15558,Melbourne
Beaumaris Books,Bookstore,,-37.98620907832441,145.0342037415323,4777,
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,15459,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,15631,Melbourne
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,15585,Docklands
Thesaraus Books,College Bookstore,,-37.91316405346006,144.9935499707919,4242,
Monash Book And Merchandise Store,College Bookstore,,-37.912135,145.133526,12108,Clayton
The Campus Bookstore,College Bookstore,488 South Road,-37.93621000791059,145.05096673965454,4379,Moorabbin
All Books 4 Less,Bookstore,,-37.958242320749946,145.05351777149912,4402,
Dirt Cheap Books,Bookstore,,-37.958658,145.055311,4565,Cheltenham
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,16798,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,17005,Fitzroy
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,17301,Carlton
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,15274,Melbourne
The Book Grocer,Bookstore,,-37.81669,144.89159,17872,Yarraville
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,15609,Melbourne
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,16174,Melbourne
Dirt Cheap Books,Bookstore,,-37.97593539521932,145.06659546218842,6160,
Mountain Books,Bookstore,,-37.98350397458091,145.06480247700406,6463,Mentone
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,14562,Melbourne
2nd book shop,Bookstore,,-37.816244,144.968586,15250,
Syber's Books,Bookstore,668 Glenhuntly Rd,-37.886503,145.01761,7196,Caulfield
Out Of Print Books,Bookstore,,-37.886830880867514,145.0203238340852,7202,
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,15387,
Sunflower Bookshop,Bookstore,434 Glenhuntly Rd,-37.88518,145.00646,7251,Elsternwick
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,10704,Wheelers Hill
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,2156,Canterbury
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,9507,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,16143,Footscray
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,6959,South Yarra
Deakin University Building H (Business & Law and MIBT Book Shop),College Bookstore,"Building H, 221 Burwood Highway",-37.84882390258912,145.11473959242863,3756,Burwood
The Book Grocer,Bookstore,,-37.837622,144.995999,6864,South Yarra
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,5031,Box Hill
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,8997,Fitzroy
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,9833,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,9480,Fitzroy
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,10311,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,9913,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,9654,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,9930,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,10282,Carlton
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,7553,
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,9915,Northcote
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,10959,Docklands
Canterbury Books,Bookstore,,-37.824355,145.081599,1703,
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,9727,Melbourne
Sainsbury's Books Pty Ltd,Bookstore,534 Riversdale Road,-37.83192574000541,145.05823390641237,1571,Camberwell
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,12093,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,7858,Melbourne
Pauline Books & Media,Bookstore,7 Denmark Hill Road,-37.832518,145.054004,1884,
Dirt Cheap Books,Bookstore,,-37.830462831997025,145.0568664156024,1755,Camberwell
Book Affair,Bookstore,,-37.775397,144.960742,12191,
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,10500,Melbourne
Continental Bookshop,Bookstore,439–443 Burke Road,-37.84556901306103,145.05399152661045,1934,Boroondara
adventist Book Centre,Bookstore,,-37.824233,145.166771,8302,
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,10388,Melbourne
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,12615,Brunswick
ACU Book Store,College Bookstore,,-37.807676,144.978315,9091,Fitzroy
2nd book shop,Bookstore,,-37.816244,144.968586,9599,
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,9379,Melbourne
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,9680,
Monash Book And Merchandise Store,College Bookstore,,-37.912135,145.133526,9723,Clayton
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,10904,Brighton
the leaf bookshop,Bookstore,,-37.863365,145.0804,2827,Ashburton
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,11251,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,12557,Footscray
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5798,Northcote
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,6921,
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,6627,Brunswick
Book Affair,Bookstore,,-37.775397,144.960742,7410,
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,24409,Wheelers Hill
